Station Name,Line,Ok,,,,
Acton Town,"District
Piccadilly",TRUE,,,,
Aldgate,"Metropolitan
Circle",TRUE,,,,
Aldgate East,"Hammersmith & City
District",TRUE,,,,
Alperton,Piccadilly,TRUE,,,,
Amersham,Metropolitan,TRUE,,,,
Angel,Northern,TRUE,,,,
Archway,Northern,TRUE,,,,
Arnos Grove,Piccadilly,TRUE,,,,
Arsenal,Piccadilly,TRUE,,,,
Baker Street,"Metropolitan
Bakerloo
Circle
Jubilee
Hammersmith & City",TRUE,,,,
Balham,Northern,TRUE,,,,
Bank,"Waterloo & City
Northern
Central",TRUE,,,,
Barbican,"Metropolitan
Circle
Hammersmith & City",TRUE,,,,
Barking,"District
Hammersmith & City",TRUE,,,,
Barkingside,Central,TRUE,,,,
Barons Court,"District
Piccadilly",TRUE,,,,
Battersea Power Station,Northern,TRUE,,,,
Bayswater,"District
Circle",TRUE,,,,
Becontree,District,FALSE,,,,
Belsize Park,Northern,TRUE,,,,
Bermondsey,Jubilee,FALSE,,,,
Bethnal Green,Central,TRUE,,,,
Blackfriars,"District
Circle",TRUE,,,,
Blackhorse Road,Victoria,FALSE,,,,
Bond Street,"Central
Jubilee",TRUE,,,,
Borough,Northern,TRUE,,,,
Boston Manor,Piccadilly,TRUE,,,,
Bounds Green,Piccadilly,TRUE,,,,
Bow Road,"District
Hammersmith & City",TRUE,,,,
Brent Cross,Northern,TRUE,,,,
Brixton,Victoria,FALSE,,,,
Bromley-by-Bow,"District
Hammersmith & City",TRUE,,,,
Buckhurst Hill,Central,TRUE,,,,
Burnt Oak,Northern,TRUE,,,,
Caledonian Road,Piccadilly,TRUE,,,,
Camden Town,Northern,TRUE,,,,
Canada Water,Jubilee,FALSE,,,,
Canary Wharf,Jubilee,FALSE,,,,
Canning Town,Jubilee,FALSE,,,,
Cannon Street,"District
Circle",TRUE,,,,
Canons Park,Jubilee,FALSE,,,,
Chalfont & Latimer,Metropolitan,TRUE,,,,
Chalk Farm,Northern,TRUE,,,,
Chancery Lane,Central,TRUE,,,,
Charing Cross,"Bakerloo
Northern",TRUE,,,,
Chesham,Metropolitan,TRUE,,,,
Chigwell,Central,TRUE,,,,
Chiswick Park,District,FALSE,,,,
Chorleywood,Metropolitan,TRUE,,,,
Clapham Common,Northern,TRUE,,,,
Clapham North,Northern,TRUE,,,,
Clapham South,Northern,TRUE,,,,
Cockfosters,Piccadilly,TRUE,,,,
Colindale,Northern,TRUE,,,,
Colliers Wood,Northern,TRUE,,,,
Covent Garden,Piccadilly,TRUE,,,,
Croxley,Metropolitan,TRUE,,,,
Dagenham East,District,FALSE,,,,
Dagenham Heathway,District,FALSE,,,,
Debden,Central,TRUE,,,,
Dollis Hill,Jubilee,FALSE,,,,
Ealing Broadway,"District
Central",TRUE,,,,
Ealing Common,"District
Piccadilly",TRUE,,,,
Earl's Court,"District
Piccadilly",TRUE,,,,
East Acton,Central,TRUE,,,,
East Finchley,Northern,TRUE,,,,
East Ham,"District
Hammersmith & City",TRUE,,,,
East Putney,District,FALSE,,,,
Eastcote,"Metropolitan
Piccadilly[k]",TRUE,,,,
Edgware,Northern,TRUE,,,,
