Station Name,Line,Ok,,,,
Tottenham Court Road,"Central
Northern",TRUE,,,,
Tottenham Hale,Victoria,FALSE,,,,
Totteridge & Whetstone,Northern,TRUE,,,,
Tower Hill,"District
Circle",TRUE,,,,
Tufnell Park,Northern,TRUE,,,,
Turnham Green,"District
Piccadilly",TRUE,,,,
Turnpike Lane,Piccadilly,TRUE,,,,
Upminster,District,FALSE,,,,
Upminster Bridge,District,FALSE,,,,
Upney,District,FALSE,,,,
Upton Park,"District
Hammersmith & City",TRUE,,,,
Uxbridge,"Metropolitan
Piccadilly[k]",TRUE,,,,
Vauxhall,Victoria,FALSE,,,,
Victoria,"District
Circle
Victoria",TRUE,,,,
Walthamstow Central,Victoria,FALSE,,,,
Wanstead,Central,TRUE,,,,
Warren Street,"Northern
Victoria",TRUE,,,,
Warwick Avenue,Bakerloo,FALSE,,,,
Waterloo,"Waterloo & City
Bakerloo
Northern
Jubilee",TRUE,,,,
Watford,Metropolitan,TRUE,,,,
Wembley Central,Bakerloo,FALSE,,,,
Wembley Park,"Metropolitan
Jubilee[f]",TRUE,,,,
West Acton,Central,TRUE,,,,
West Brompton,District,FALSE,,,,
West Finchley,Northern,TRUE,,,,
West Ham,"District
Hammersmith & City
Jubilee",TRUE,,,,
West Hampstead,Jubilee,FALSE,,,,
West Harrow,Metropolitan,TRUE,,,,
West Kensington,District,FALSE,,,,
West Ruislip,Central,TRUE,,,,
Westbourne Park,"Hammersmith & City
Circle",TRUE,,,,
Westminster,"District
Circle
Jubilee",TRUE,,,,
White City,Central,TRUE,,,,
Whitechapel,"District
Hammersmith & City",TRUE,,,,
Willesden Green,Jubilee,FALSE,,,,
Willesden Junction,Bakerloo,FALSE,,,,
Wimbledon,District,FALSE,,,,
Wimbledon Park,District,FALSE,,,,
Wood Green,Piccadilly,TRUE,,,,
Wood Lane,"Hammersmith & City
Circle",TRUE,,,,
Woodford,Central,TRUE,,,,
Woodside Park,Northern,TRUE,,,,
